2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Rábaszentmihály,33710,község,Győr-Moson-Sopron,3806,Téti,Tét,6,Enese,1097,491,200,,,,,,,,,,,,,,
Rábaszentmiklós,17297,község,Győr-Moson-Sopron,3806,Téti,Tét,6,Mórichida,501,133,64,,,,,,,,,,,,,,
Rábatamási,15422,község,Győr-Moson-Sopron,3801,Csornai,Csorna,4,Helyben,2176,995,441,,,,,,,,,,,,,,
Rábatöttös,17996,község,Vas,4808,Szombathelyi,Szombathely,6,Rum,648,212,121,,,,,,,,,,,,,,
Rábcakapi,03753,község,Győr-Moson-Sopron,3801,Csornai,Csorna,6,Markotabödöge,787,171,89,,,,,,,,,,,,,,
Rácalmás,09900,város,Fejér,3702,Dunaújvárosi,Dunaújváros,1,–,4064,4472,1455,,,,,,,1,,,,1,,,
Ráckeresztúr,02015,község,Fejér,3710,Ercsi,Ercsi,1,–,3530,3288,1266,,,,,,,,,,,,,,
Ráckeve,17260,város,Pest,4307,Ráckevei,Ráckeve,1,–,6409,10016,3791,,1,1,,,,1,,,,1,,,
Rád,02370,község,Pest,4309,Váci,Vác,1,–,1774,1898,659,,,1,,,,,,,,,,,
Rádfalva,11518,község,Baranya,3205,Siklósi,Siklós,6,Diósviszló,1288,197,90,,,1,,,,,,,,,,,
Rádóckölked,07551,község,Vas,4803,Körmendi,Körmend,4,Helyben,1895,262,135,,,,,,,,,,,,,,
Radostyán,21193,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,6,Parasznya,810,597,223,,,,,,,,,,,,,,
Ragály,06053,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,4,Helyben,1554,651,257,,,1,,,,,,,,,,,
Rajka,26587,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,1,–,5263,2550,1020,,,,,,,1,,,,,,,
Rakaca,29717,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,4,Helyben,1900,727,263,,,1,,,,,,,,,,,
Rakacaszend,16133,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Rakaca,1571,346,166,,,1,,,,,,,,,,,
Rakamaz,14739,város,Szabolcs-Szatmár-Bereg,4509,Tiszavasvári,Tiszavasvári,1,–,4264,4688,1894,,,1,,,,1,,,1,,,,
Rákóczibánya,34360,község,Nógrád,4205,Salgótarjáni,Salgótarján,6,Kazár,457,789,307,,,1,,,,,,,,,,,
Rákóczifalva,14207,város,Jász-Nagykun-Szolnok,4604,Szolnoki,Szolnok,1,–,3594,5366,2191,,,,,,,,,,,,,,
Rákócziújfalu,12423,község,Jász-Nagykun-Szolnok,4604,Szolnoki,Szolnok,1,–,1961,1984,728,,,,,,,,,,,,,,
Ráksi,30863,község,Somogy,4404,Kaposvári,Kaposvár,6,Igal,1517,453,187,,,,,,,,,,,,,,
Ramocsa,14298,község,Zala,5002,Lenti,Lenti,6,Csesztreg,273,45,21,,,,,,,,,,,,,,
Ramocsaháza,31857,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,4,Helyben,1811,1462,549,,,1,,,,,,,,,,,
Rápolt,09061,község,Szabolcs-Szatmár-Bereg,4505,Mátészalkai,Mátészalka,6,Ököritófülpös,321,131,86,,,,,,,,,,,,,,
Raposka,03948,község,Veszprém,4906,Tapolcai,Tapolca,6,Tapolca,490,230,108,,,,,,,,,,,,,,
Rásonysápberencs,31909,község,Borsod-Abaúj-Zemplén,3510,Szikszói,Szikszó,6,Kázsmárk,916,566,198,,,1,,,,,,,,,,,
Rátka,12469,község,Borsod-Abaúj-Zemplén,3509,Szerencsi,Szerencs,6,Mád,1177,942,432,,,,,,,1,,,,,,,
Rátót,23861,község,Vas,4807,Szentgotthárdi,Szentgotthárd,4,Helyben,727,288,98,,,,,,,,,,,,,,
Ravazd,21801,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,6,Écs,2854,1178,492,,,,,,,,,,,,,,
Recsk,09609,nagyközség,Heves,4006,Pétervásárai,Pétervására,1,–,4537,2680,1317,,,1,,,,,,,,,,,
Réde,30012,község,Komárom-Esztergom,4103,Kisbéri,Kisbér,4,Helyben,4588,1350,567,,,,,,,,,,,,,,
Rédics,31592,község,Zala,5002,Lenti,Lenti,4,Helyben,2532,954,382,,,,,,,,,,,,,,
Regéc,08402,község,Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,6,Fony,2721,95,62,,,,,,,,,,,,,,
Regenye,25292,község,Baranya,3207,Pécsi,Pécs,6,Görcsöny,615,137,62,,,1,,,,,,,,,,,
Regöly,15459,község,Tolna,4705,Tamási,Tamási,4,Helyben,6267,1109,546,,,,,,,,,,,,,,
Rém,26310,község,Bács-Kiskun,3301,Bajai,Baja,1,–,3993,1309,576,,,,,,,,,,,,,,
Remeteszőlős,34315,község,Pest,4313,Pilisvörösvári,Pilisvörösvár,1,–,56,726,237,*,,,,,,,,,,,,,
Répáshuta,31884,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,6,Bükkszentkereszt,1679,469,183,,,,,,,,,,,,1,,
Répcelak,30881,város,Vas,4806,Sárvári,Sárvár,3,Helyben,1382,2371,1063,,,,,,,,,,,,,,
Répceszemere,14438,község,Győr-Moson-Sopron,3805,Sopron-Fertődi,Sopron,6,Himod,942,261,143,,,,,,,,,,,,,,
Répceszentgyörgy,28626,község,Vas,4802,Csepregi,Csepreg,6,Bő,575,105,81,,,,,,,,,,,,,,
Répcevis,07746,község,Győr-Moson-Sopron,3805,Sopron-Fertődi,Sopron,6,Zsira,609,341,162,,,,,,,,,,,,,,
Resznek,17118,község,Zala,5002,Lenti,Lenti,6,Rédics,1842,290,155,,,,,,,,,,,,,,
Rétalap,33969,község,Győr-Moson-Sopron,3802,Győri,Győr,6,Mezőörs,1320,563,224,,,,,,,,,,,,,,
Rétközberencs,21573,község,Szabolcs-Szatmár-Bereg,4504,Kisvárdai,Kisvárda,1,–,1580,1157,404,,,1,,,,,,,,,,,
Rétság,23825,város,Nógrád,4204,Rétsági,Rétság,1,–,1981,2945,1154,,,1,,,,,,,,,1,,
Révfülöp,05625,nagyközség,Veszprém,4906,Tapolcai,Tapolca,1,–,1036,1081,555,,,,,,,,,,,,,,
Révleányvár,09317,község,Borsod-Abaúj-Zemplén,3513,Bodrogközi,Cigánd,6,Zemplénagárd,1650,473,320,,,,,,,,,,,,,,
Rezi,23898,község,Zala,5007,Hévízi,Hévíz,1,–,2978,1179,514,,,,,,,,,,,,,,
Ricse,19220,nagyközség,Borsod-Abaúj-Zemplén,3513,Bodrogközi,Cigánd,1,–,2476,1666,659,,,1,,,,,,,,,,,
Rigács,25849,község,Veszprém,4905,Sümegi,Sümeg,6,Ukk,617,187,111,,,,,,,,,,,,,,
Rigyác,24138,község,Zala,5004,Nagykanizsai,Nagykanizsa,6,Eszteregnye,1536,426,155,,,,,,,,,,,,,,
Rimóc,28884,község,Nógrád,4206,Szécsényi,Szécsény,1,–,2926,1774,698,,,1,,,,,,,,,,,
Rinyabesenyő,05078,község,Somogy,4407,Nagyatádi,Nagyatád,6,Lábod,2863,168,72,,,1,,,,,,,,,,,
Rinyakovácsi,32674,község,Somogy,4411,Kadarkúti,Kadarkút,6,Csököly,1109,144,69,,,,,,,,,,,,,,
Rinyaszentkirály,26754,község,Somogy,4407,Nagyatádi,Nagyatád,6,Görgeteg,3056,387,173,,,1,,,,,,,,,,,
Rinyaújlak,20622,község,Somogy,4401,Barcsi,Barcs,6,Csokonyavisonta,2426,297,142,,,1,,,,,,,,,,,
Rinyaújnép,20321,község,Somogy,4401,Barcsi,Barcs,6,Babócsa,828,46,51,,,,,,,,,,,,,,
Rohod,24581,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,1,–,1956,1190,435,,,1,,,,,,,,,,,
Románd,17507,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,6,Tápszentmiklós,986,285,145,,,,,,,,,,,,,,
Romhány,12195,község,Nógrád,4204,Rétsági,Rétság,4,Helyben,2547,2235,942,,,1,,,,,,,,,,,
Romonya,24855,község,Baranya,3207,Pécsi,Pécs,4,Helyben,707,469,169,,,,,,,,,,,,,,
Rózsafa,04516,község,Baranya,3206,Szigetvári,Szigetvár,4,Helyben,1664,383,141,,,1,,,,,,,,,,,
Rozsály,17428,község,Szabolcs-Szatmár-Bereg,4503,Fehérgyarmati,Fehérgyarmat,4,Helyben,1487,745,260,,,1,,,,,,,,,,,
Rózsaszentmárton,27650,község,Heves,4005,Hatvani,Hatvan,1,–,1631,1990,896,,,,,,,,,,,,,,
Röjtökmuzsaj,11068,község,Győr-Moson-Sopron,3805,Sopron-Fertődi,Sopron,4,Helyben,1586,443,206,,,,,,,,,,,,,,
Rönök,26806,község,Vas,4807,Szentgotthárdi,Szentgotthárd,4,Helyben,1722,427,165,,,1,,,,1,,,,,,,
Röszke,13161,község,Csongrád,3606,Szegedi,Szeged,1,–,3663,3252,1421,,,,,,,,,,,,,,
Rudabánya,23029,város,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,3,Helyben,1646,2511,1150,,,,,,,1,,,,,,,
Rudolftelep,34120,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,6,Ormosbánya,439,711,295,,,,,,,,,,,,,,
Rum,10597,község,Vas,4808,Szombathelyi,Szombathely,4,Helyben,1685,1232,456,,,,,,,,,,,,,,
Ruzsa,03966,község,Csongrád,3605,Mórahalomi,Mórahalom,1,–,8468,2533,1440,,,,,,,,,,,,,,
Ságújfalu,12520,község,Nógrád,4205,Salgótarjáni,Salgótarján,4,Helyben,1203,1066,395,,,1,,,,,,,,,,,
Ságvár,14942,község,Somogy,4408,Siófoki,Siófok,4,Helyben,3844,1833,701,,,1,,,,,,,,,,,
Sajóbábony,03504,város,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,1343,2813,1144,,,,,,,,,,,,1,,
Sajóecseg,27331,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,794,1015,434,,,,,,,,,,,,,,
Sajógalgóc,10171,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,6,Vadna,1012,379,139,,,,,,,,,,,,,,
Sajóhídvég,03081,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,6,Berzék,1344,1035,349,,,1,,,,,,,,,,,
Sajóivánka,03212,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,6,Vadna,1023,613,224,,,1,,,,,,,,,,,
Sajókápolna,21670,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,4,Helyben,1051,411,164,,,,,,,,,,,,,,
Sajókaza,14313,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,1,–,3072,3464,1054,,,1,,,,,,,,,,,
Sajókeresztúr,26949,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,1640,1505,571,,,,,,,,,,,,,,
Sajólád,27173,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,1268,3110,1012,,,1,,,,,,,1,,,,
Sajólászlófalva,22479,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,6,Sajókápolna,662,426,166,,,,,,,,,,,,,,
Sajómercse,15945,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,6,Sajóvelezd,1118,220,130,,,,,,,,,,,,,,
Sajónémeti,11332,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,4,Helyben,737,521,249,,,1,,,,,,,,,,,
Sajóörös,08129,község,Borsod-Abaúj-Zemplén,3511,Tiszaújvárosi,Tiszaújváros,1,–,844,1337,493,,,,,,,,,,,,,,
Sajópálfala,18537,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,6,Felsőzsolca,711,750,284,,,,,,,,,,1,,,,
Sajópetri,16638,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,928,1543,492,,,,,,,,,,1,,,,
Sajópüspöki,23782,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,6,Sajónémeti,945,513,205,,,,,,,,,,,,,,
Sajósenye,08970,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,6,Sajóvámos,847,453,137,,,,,,,,,,,,,,
Sajószentpéter,16054,város,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,3485,12084,4590,,,1,,,1,1,,,,,,,
Sajószöged,30340,község,Borsod-Abaúj-Zemplén,3511,Tiszaújvárosi,Tiszaújváros,1,–,1362,2297,896,,,,,,,,,,,,,,
Sajóvámos,20738,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,4,Helyben,3122,2213,782,,,,,,,,,,,,,,
Sajóvelezd,27757,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,4,Helyben,2302,820,317,,,,,,,,,,,,,,
Sajtoskál,10579,község,Vas,4802,Csepregi,Csepreg,4,Helyben,941,404,159,,,,,,,,,,,,,,
Salföld,30793,község,Veszprém,4906,Tapolcai,Tapolca,6,Ábrahámhegy,518,65,39,,,,,,,,,,,,,,
Salgótarján,25788,"megyeszékhely, megyei jogú város",Nógrád,4205,Salgótarjáni,Salgótarján,1,–,10083,37166,18285,*,,1,,,,,,,,,1,,
Salköveskút,18883,község,Vas,4808,Szombathelyi,Szombathely,6,Söpte,1320,516,195,,,,,,,,,,,,,,
Salomvár,27720,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Zalacséb,1611,595,256,,,,,,,,,,,,,,
Sály,04729,község,Borsod-Abaúj-Zemplén,3505,Mezőkövesdi,Mezőkövesd,1,–,2557,2147,739,,,1,,,,,,,,,,,
Sámod,18050,község,Baranya,3204,Sellyei,Sellye,4,Helyben,620,218,80,,,1,,,,,,,,,,,
Sámsonháza,24572,község,Nógrád,4202,Bátonyterenyei,Bátonyterenye,6,Márkháza,1271,272,156,,,1,,,,,,,,,1,,
Sand,15556,község,Zala,5009,Zalakarosi,Zalakaros,6,Kisrécse,748,398,197,,,,,,,,,,,,,,
Sándorfalva,31705,város,Csongrád,3606,Szegedi,Szeged,3,Helyben,5577,7983,3085,,,,,,,,,,,,,,
Sántos,31121,község,Somogy,4404,Kaposvári,Kaposvár,6,Taszár,1138,521,187,,,,,,,,,,,,,,
Sáp,26116,község,Hajdú-Bihar,3907,Püspökladányi,Püspökladány,1,–,1922,927,396,,,1,,,,,,,,,,,
Sáránd,25007,község,Hajdú-Bihar,3908,Derecske-Létavértesi,Létavértes,1,–,2268,2287,832,,,1,,,,,,,,,,,
Sárazsadány,20516,község,Borsod-Abaúj-Zemplén,3507,Sárospataki,Sárospatak,6,Bodrogolaszi,1533,250,181,,,,,,,,,,,,,,
Sárbogárd,23694,város,Fejér,3706,Sárbogárdi,Sárbogárd,1,–,18933,12549,5098,,,1,,,,,,,,,,,
Sáregres,02723,község,Fejér,3706,Sárbogárdi,Sárbogárd,6,Mezőszilas,2616,777,356,,,,,,,,,,,,,,
Sárfimizdó,09788,község,Vas,4809,Vasvári,Vasvár,6,Gersekarát,746,101,66,,,,,,,,,,,,,,
Sárhida,08101,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Bak,509,803,281,,,1,,,,,,,,,,,
Sárisáp,26903,község,Komárom-Esztergom,4101,Dorogi,Dorog,1,–,1449,2757,1105,*,,,,,,,,,,,1,,
Sarkad,28565,város,Békés,3404,Sarkadi,Sarkad,1,–,12557,10129,4328,,,1,,,,,,1,,,,,
Sarkadkeresztúr,25168,község,Békés,3404,Sarkadi,Sarkad,1,–,3530,1530,800,,,1,,,,,,1,,,1,,
Sárkeresztes,31802,község,Fejér,3707,Székesfehérvári,Székesfehérvár,4,Helyben,2327,1488,554,,,,,,,,,,,,,,
Sárkeresztúr,25344,község,Fejér,3708,Abai,Aba,1,–,4675,2584,773,,,1,,,,,,,,,,,
Sárkeszi,02699,község,Fejér,3707,Székesfehérvári,Székesfehérvár,6,Úrhida,1479,599,207,,,,,,,,,,,,,,
Sármellék,14906,község,Zala,5007,Hévízi,Hévíz,4,Helyben,3537,1863,774,,,1,,,,,,,,,,,
Sárok,20862,község,Baranya,3202,Mohácsi,Mohács,6,Lippó,462,112,62,,,1,,,,1,,,,,,,
Sárosd,25140,nagyközség,Fejér,3708,Abai,Aba,1,–,4812,3326,1129,,,,,,,,,,,,,,
Sárospatak,27474,város,Borsod-Abaúj-Zemplén,3507,Sárospataki,Sárospatak,1,–,13918,12920,5396,,,1,,,,1,,,1,,,,
Sárpilis,04747,község,Tolna,4704,Szekszárdi,Szekszárd,6,Alsónána,2170,690,218,,,1,,,,,,,,,,,
Sárrétudvari,23940,nagyközség,Hajdú-Bihar,3907,Püspökladányi,Püspökladány,1,–,5442,2792,1247,,,,,,,,,,,,,,
Sarród,30021,község,Győr-Moson-Sopron,3805,Sopron-Fertődi,Sopron,1,–,4007,1166,438,,,,,,,,,,,,,,
Sárszentágota,31538,község,Fejér,3708,Abai,Aba,1,–,4550,1361,510,,,,,,,,,,,,,,
Sárszentlőrinc,20817,község,Tolna,4703,Paksi,Paks,6,Nagydorog,4669,941,460,,,1,,,,,,,,,,,
Sárszentmihály,11776,község,Fejér,3707,Székesfehérvári,Székesfehérvár,1,–,3740,3038,1078,,,,,,,,,,,,,,
Sarud,07180,község,Heves,4003,Füzesabonyi,Füzesabony,6,Tiszanána,5162,1175,565,,,1,,,,,,,,,,,
Sárvár,21306,város,Vas,4806,Sárvári,Sárvár,3,Helyben,6465,14717,6243,,,1,,,1,,,,,,,,
Sásd,32160,város,Baranya,3203,Sásdi,Sásd,3,Helyben,1488,3329,1399,,,1,,,,1,,,,,,,
Sáska,13772,község,Veszprém,4906,Tapolcai,Tapolca,6,Zalahaláp,3748,261,124,,,,,,,,,,,,,,
Sáta,02875,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,1,–,1651,1048,542,,,1,,,,,,,,,,,
Sátoraljaújhely,05120,város,Borsod-Abaúj-Zemplén,3508,Sátoraljaújhelyi,Sátoraljaújhely,1,–,7347,15619,6898,,,1,,,,1,,,1,,1,,
Sátorhely,33482,község,Baranya,3202,Mohácsi,Mohács,6,Nagynyárád,1760,656,242,,,,,,,,,,,,,,
Sávoly,02051,község,Somogy,4406,Marcali,Marcali,4,Helyben,2684,500,228,,,,,,,,,,,,,,
Sé,10278,község,Vas,4808,Szombathelyi,Szombathely,1,–,603,1392,475,,,,,,,,,,,,,,
Segesd,27368,község,Somogy,4407,Nagyatádi,Nagyatád,4,Helyben,7309,2516,915,,,1,,,,,,,,,,,
Selyeb,25380,község,Borsod-Abaúj-Zemplén,3510,Szikszói,Szikszó,4,Helyben,1668,496,186,,,1,,,,,,,,,,,
Sellye,28741,város,Baranya,3204,Sellyei,Sellye,3,Helyben,2518,2761,1160,,,1,,1,,,,,,,,,
Semjén,23755,község,Borsod-Abaúj-Zemplén,3513,Bodrogközi,Cigánd,6,Lácacséke,784,445,177,,,1,,,,,,,,,,,
Semjénháza,30997,község,Zala,5003,Letenyei,Letenye,4,Helyben,470,616,218,,,,,1,,,,,,,,,
Sénye,14085,község,Zala,5006,Zalaszentgróti,Zalaszentgrót,6,Zalaszentlászló,304,40,38,,,,,,,,,,,,,,
Sényő,04491,község,Szabolcs-Szatmár-Bereg,4508,Nyíregyházai,Nyíregyháza,1,–,1830,1418,467,,,,,,,,,,,,,,
Seregélyes,20206,nagyközség,Fejér,3708,Abai,Aba,1,–,7819,4621,1609,,,,,,,,,,,,,,
Serényfalva,32531,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,1,–,1964,978,369,,,1,,,,,,,,,,,
Sérsekszőlős,32133,község,Somogy,4409,Tabi,Tab,6,Tab,665,152,72,,,,,,,,,,,,,,
Sikátor,08606,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,6,Veszprémvarsány,1373,293,144,,,1,,,,,,,,,,,
Siklós,05519,város,Baranya,3205,Siklósi,Siklós,3,Helyben,5092,9732,4008,,,1,,1,,1,,,,1,,,
Siklósbodony,23205,község,Baranya,3205,Siklósi,Siklós,6,Baksa,433,135,47,,,1,,,,,,,,,,,
Siklósnagyfalu,08800,község,Baranya,3205,Siklósi,Siklós,6,Egyházasharaszti,909,424,132,,,1,,,,,,,,,,,
Sima,23418,község,Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,6,Abaújszántó,488,32,16,,,,,,,,,,,,,,
Simaság,26763,község,Vas,4802,Csepregi,Csepreg,6,Vasegerszeg,1013,531,244,,,,,,,,,,,,,,
Simonfa,32780,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,1100,363,142,,,,,,,,,,,,,,
Simontornya,20783,város,Tolna,4705,Tamási,Tamási,1,–,3383,4086,1879,,,1,,,,,,,,,,,
Sióagárd,25645,község,Tolna,4704,Szekszárdi,Szekszárd,4,Helyben,2440,1268,524,,,,,,,1,,,,,,,
Siófok,17631,város,Somogy,4408,Siófoki,Siófok,1,–,12466,24347,12552,,,1,,,,,1,,,,,,
Siójut,23092,község,Somogy,4408,Siófoki,Siófok,6,Balatonszabadi,1073,607,240,,,,,,,,,,,,,,
Sirok,08527,község,Heves,4006,Pétervásárai,Pétervására,4,Helyben,6339,1819,956,,,1,,,,,,,,,,,
Sitke,30748,község,Vas,4806,Sárvári,Sárvár,6,Sárvár,2720,640,308,,,,,,,,,,,,,,
Sobor,24208,község,Győr-Moson-Sopron,3806,Téti,Tét,6,Egyed,1672,276,151,,,,,,,,,,,,,,
Sokorópátka,12627,község,Győr-Moson-Sopron,3806,Téti,Tét,1,–,1686,1057,484,,,,,,,,,,,,,,
Solt,29115,város,Bács-Kiskun,3303,Kalocsai,Kalocsa,3,Helyben,13267,6359,3002,,,1,,,,,,,,,,,
Soltszentimre,18218,község,Bács-Kiskun,3305,Kiskőrösi,Kiskőrös,1,–,4449,1265,669,,,,,,,,,,,,,,
Soltvadkert,19983,város,Bács-Kiskun,3305,Kiskőrösi,Kiskőrös,1,–,10886,7482,3382,,,1,,,,1,,,,,,,
Sóly,03601,község,Veszprém,4908,Veszprémi,Veszprém,6,Hajmáskér,1028,474,166,,,,,,,,,,,,,,
Solymár,07384,nagyközség,Pest,4313,Pilisvörösvári,Pilisvörösvár,1,–,1786,10151,3767,,,,,,,1,,,,,,,
Som,04127,község,Somogy,4408,Siófoki,Siófok,6,Ságvár,2335,680,268,,,,,,,,,,,,,,
Somberek,23472,község,Baranya,3202,Mohácsi,Mohács,4,Helyben,3142,1407,536,,,,,,,1,,,,1,,,
Somlójenő,05157,község,Veszprém,4911,Devecseri,Devecser,6,Somlóvásárhely,815,319,142,,,1,,,,,,,,,,,
Somlószőlős,25779,község,Veszprém,4911,Devecseri,Devecser,4,Helyben,1946,641,322,,,1,,,,,,,,,,,
Somlóvásárhely,26569,község,Veszprém,4911,Devecseri,Devecser,4,Helyben,2321,1081,455,,,1,,,,,,,,,,,
Somlóvecse,14243,község,Veszprém,4911,Devecseri,Devecser,6,Nagyalásony,493,107,62,,,,,,,,,,,,,,
Somodor,13824,község,Somogy,4404,Kaposvári,Kaposvár,6,Szentgáloskér,1991,405,178,,,1,,,,,,,,,,,
Somogyacsa,30580,község,Somogy,4409,Tabi,Tab,6,Törökkoppány,2446,155,178,,,,,,,,,,,,,,
Somogyapáti,23807,község,Baranya,3206,Szigetvári,Szigetvár,4,Helyben,1070,509,222,,,1,,,,,,,,,,,
Somogyaracs,05500,község,Somogy,4401,Barcsi,Barcs,6,Babócsa,770,212,86,,,1,,,,,,,,,,,
Somogyaszaló,31219,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,2212,715,287,,,,,,,,,,,,,,
Somogybabod,32470,község,Somogy,4403,Fonyódi,Fonyód,6,Látrány,1058,489,240,,,,,,,,,,,,,,
Somogybükkösd,25043,község,Somogy,4402,Csurgói,Csurgó,6,Porrog,1180,94,78,,,,,,,,,,,,,,
Somogycsicsó,11484,község,Somogy,4402,Csurgói,Csurgó,6,Csurgó,1238,153,98,,,,,,,,,,,,,,
Somogydöröcske,15981,község,Somogy,4409,Tabi,Tab,6,Törökkoppány,1083,129,102,,,,,,,,,,,,,,
Somogyegres,20057,község,Somogy,4409,Tabi,Tab,6,Kánya,1081,198,132,,,,,,,,,,,,,,
Somogyfajsz,18078,község,Somogy,4406,Marcali,Marcali,4,Helyben,1826,552,221,,,1,,,,,,,,,,,
Somogygeszti,20330,község,Somogy,4404,Kaposvári,Kaposvár,6,Somogyaszaló,2171,478,209,,,1,,,,,,,,,,,
Somogyhárságy,29142,község,Baranya,3206,Szigetvári,Szigetvár,4,Helyben,3097,439,216,,,1,,,,1,,,,,,,
Somogyhatvan,25070,község,Baranya,3206,Szigetvári,Szigetvár,6,Somogyapáti,1352,353,147,,,1,,,,,,,,,,,
Somogyjád,28963,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,2506,1569,568,,,1,,,,,,,,,,,
Somogymeggyes,12876,község,Somogy,4409,Tabi,Tab,6,Kapoly,1565,504,242,,,,,,,,,,,,,,
Somogysámson,15626,község,Somogy,4406,Marcali,Marcali,6,Somogyzsitfa,2177,742,283,,,1,,,,,,,,,,,
Somogysárd,28723,község,Somogy,4404,Kaposvári,Kaposvár,1,–,3636,1250,514,,,1,,,,,,,,,,,
Somogysimonyi,27535,község,Somogy,4406,Marcali,Marcali,6,Nemesvid,1582,94,37,,,,,,,,,,,,,,
Somogyszentpál,06600,község,Somogy,4406,Marcali,Marcali,1,–,2896,748,374,,,1,,,,,,,,,,,
Somogyszil,03416,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,3846,719,369,,,,,,,,,,,,,,
Somogyszob,18546,község,Somogy,4407,Nagyatádi,Nagyatád,4,Helyben,4008,1567,645,,,1,,,,,,,,,,,
Somogytúr,32601,község,Somogy,4403,Fonyódi,Fonyód,6,Látrány,3530,445,198,,,,,,,,,,,,,,
Somogyudvarhely,04853,község,Somogy,4402,Csurgói,Csurgó,4,Helyben,4042,1066,457,,,,,,,,,,,,,,
Somogyvámos,21856,község,Somogy,4405,Lengyeltóti,Lengyeltóti,6,Somogyvár,2502,782,327,,,1,,,,,,,,,,,
Somogyvár,19442,község,Somogy,4405,Lengyeltóti,Lengyeltóti,4,Helyben,5299,1909,729,,,,,,,,,,,,,,
Somogyviszló,21281,község,Baranya,3206,Szigetvári,Szigetvár,6,Somogyapáti,1263,254,111,,,,,,,,,,,,,,
Somogyzsitfa,04835,község,Somogy,4406,Marcali,Marcali,4,Helyben,2722,653,312,,,,,,,,,,,,,,
Somoskőújfalu,01526,község,Nógrád,4205,Salgótarjáni,Salgótarján,1,–,233,2186,1071,*,,,,,,,,,,,,,
Sonkád,23889,község,Szabolcs-Szatmár-Bereg,4503,Fehérgyarmati,Fehérgyarmat,4,Helyben,1981,678,248,,,,,,,,,,,,,,
Soponya,33321,nagyközség,Fejér,3708,Abai,Aba,1,–,4996,2040,695,,,,,,,,,,,,,,
Sopron,08518,megyei jogú város,Győr-Moson-Sopron,3805,Sopron-Fertődi,Sopron,1,–,16901,60755,25548,,1,1,,1,,1,,,,,,,
