2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Ambrózfalva,16197,község,Csongrád,3604,Makói,Makó,4,Helyben,1122,488,247,,,,,,,,,,,,1,,
Anarcs,29975,község,Szabolcs-Szatmár-Bereg,4504,Kisvárdai,Kisvárda,1,–,1706,1934,682,,,1,,,,,,,,,,,
Andocs,28714,község,Somogy,4409,Tabi,Tab,4,Helyben,4327,1089,477,,,,,,,,,,,,,,
Andornaktálya,17987,község,Heves,4001,Egri,Eger,1,–,1675,2741,1030,,,,,,,,,,,,,,
Andrásfa,12317,község,Vas,4809,Vasvári,Vasvár,6,Győrvár,823,268,146,,,,,,,,,,,,,,
Annavölgy,34227,község,Komárom-Esztergom,4101,Dorogi,Dorog,6,Csolnok,460,933,402,*,,,,,,,,,,,,,
Apácatorna,28370,község,Veszprém,4911,Devecseri,Devecser,6,Tüskevár,729,151,85,,,,,,,,,,,,,,
Apagy,20303,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,1,–,3204,2191,873,,,,,,,,,,,,,,
Apaj,33561,község,Pest,4307,Ráckevei,Ráckeve,6,Dömsöd,7104,1228,441,,,,,,,,,,,,,,
Aparhant,26125,község,Tolna,4701,Bonyhádi,Bonyhád,4,Helyben,1796,1026,385,,,,,,,,,,,,,,
Apátfalva,14252,község,Csongrád,3604,Makói,Makó,1,–,5378,2998,1599,,,1,,,,,,1,,,,,
Apátistvánfalva,08873,község,Vas,4807,Szentgotthárdi,Szentgotthárd,4,Helyben,1286,356,165,,,,,,,,,,,,,1,
Apátvarasd,27298,község,Baranya,3208,Pécsváradi,Pécsvárad,6,Pécsvárad,814,127,42,,,,,,,,,,,,,,
Apc,07241,község,Heves,4005,Hatvani,Hatvan,1,–,2046,2593,1106,,,,,,,,,,,,,,
Áporka,10108,község,Pest,4307,Ráckevei,Ráckeve,1,–,1747,1171,487,,,,,,,,,,,,,,
Apostag,21148,község,Bács-Kiskun,3309,Kunszentmiklósi,Kunszentmiklós,1,–,3194,1956,975,,,,,,,,,,,,,,
Aranyosapáti,09353,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,1,–,2111,1988,711,,,1,,,,,,,,,,,
Aranyosgadány,06886,község,Baranya,3207,Pécsi,Pécs,6,Pellérd,826,326,136,,,1,,1,,1,,,,,,,
Arka,26198,község,Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,6,Boldogkőváralja,953,90,67,,,,,,,,,,,,,,
Arló,14331,nagyközség,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,1,–,4687,3656,1171,,,1,,,,,,,,,,,
Arnót,03771,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,1754,2583,809,,,1,,,,,,,,,,,
Ároktő,03823,község,Borsod-Abaúj-Zemplén,3514,Mezőcsáti,Mezőcsát,1,–,4641,1073,529,,,1,,,,,,,,,,,
Árpádhalom,19062,község,Csongrád,3607,Szentesi,Szentes,6,Eperjes,4520,489,259,,,,,,,,,,,,,,
Árpás,32249,község,Győr-Moson-Sopron,3806,Téti,Tét,6,Mórichida,1427,242,129,,,,,,,,,,,,,,
Ártánd,03319,község,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,6,Biharkeresztes,1982,510,241,,,,,,,,,,,,,,
Ásotthalom,10339,község,Csongrád,3605,Mórahalomi,Mórahalom,1,–,12254,4023,2001,,,,,,,,,,,,,,
Ásványráró,26921,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,1,–,3916,1871,818,,,,,,,,,,,,,,
Aszaló,04233,község,Borsod-Abaúj-Zemplén,3510,Szikszói,Szikszó,1,–,2540,1902,643,,,1,,,,,,,,,,,
Ászár,23852,község,Komárom-Esztergom,4103,Kisbéri,Kisbér,1,–,1868,1983,709,,,1,,,,,,,,,,,
Aszód,16188,város,Pest,4301,Aszódi,Aszód,1,–,1620,6395,2437,,,,,,,,,,1,,,,
Aszófő,07339,község,Veszprém,4903,Balatonfüredi,Balatonfüred,1,–,832,399,168,,,,,,,,,,,,,,
Áta,28583,község,Baranya,3207,Pécsi,Pécs,6,Egerág,809,177,92,,,,,,,,,,,,,,
Átány,06503,község,Heves,4002,Hevesi,Heves,4,Helyben,5044,1341,587,,,1,,,,,,,,,,,
Atkár,16090,község,Heves,4004,Gyöngyösi,Gyöngyös,1,–,3376,1730,728,,,,,,,,,,,,,,
Attala,32735,község,Tolna,4702,Dombóvári,Dombóvár,6,Kapospula,2064,840,379,,,,,,,,,,,,,,
Babarc,05403,község,Baranya,3202,Mohácsi,Mohács,4,Helyben,1885,728,327,,,,,,,1,,,,,,,
Babarcszőlős,09663,község,Baranya,3205,Siklósi,Siklós,6,Szalánta,425,108,64,,,1,,,,,,,,,,,
Babócsa,30474,község,Somogy,4401,Barcsi,Barcs,4,Helyben,3099,1547,711,,,1,,,,,,,,,,,
Bábolna,19363,város,Komárom-Esztergom,4104,Komáromi,Komárom,1,–,3355,3630,1369,,,,,,,,,,,,,,
Bábonymegyer,28316,község,Somogy,4409,Tabi,Tab,6,Tab,2193,815,365,,,,,,,,,,,,,,
Babosdöbréte,21263,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Teskánd,1252,511,221,,,,,,,,,,,,,,
Babót,15042,község,Győr-Moson-Sopron,3803,Kapuvár-Beledi,Kapuvár,1,–,2167,1089,476,,,,,,,,,,,,,,
Bácsalmás,10719,város,Bács-Kiskun,3302,Bácsalmási,Bácsalmás,3,Helyben,10832,6851,3284,,,1,,1,,1,,,,,,,
Bácsbokod,10180,nagyközség,Bács-Kiskun,3301,Bajai,Baja,1,–,6393,2694,1245,,,,,1,,1,,,,,,,
Bácsborsód,27234,község,Bács-Kiskun,3301,Bajai,Baja,4,Helyben,7752,1203,427,,,,,,,1,,,,,,,
Bácsszentgyörgy,08697,község,Bács-Kiskun,3301,Bajai,Baja,6,Gara,1473,162,98,,,,,,,,,,,,,,
Bácsszőlős,30155,község,Bács-Kiskun,3302,Bácsalmási,Bácsalmás,6,Csikéria,3883,367,272,,,,,,,,,,,,,,
Badacsonytomaj,22327,város,Veszprém,4906,Tapolcai,Tapolca,1,–,3271,2091,1090,,,,,,,,,,,,,,
Badacsonytördemic,03267,község,Veszprém,4906,Tapolcai,Tapolca,1,–,1025,812,443,,,,,,,,,,,,,,
Bag,09131,nagyközség,Pest,4301,Aszódi,Aszód,1,–,2355,3967,1321,,,1,,,,,,,,,,,
Bagamér,20011,nagyközség,Hajdú-Bihar,3908,Derecske-Létavértesi,Létavértes,1,–,4702,2513,1024,,,1,,,,,,,,,,,
Baglad,11059,község,Zala,5002,Lenti,Lenti,6,Rédics,486,44,43,,,,,,,,,,,,,,
Bagod,30368,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,4,Helyben,1637,1340,473,,,,,,,,,,,,,,
Bágyogszovát,28769,község,Győr-Moson-Sopron,3801,Csornai,Csorna,4,Helyben,2406,1280,555,,,,,,,,,,,,,,
Baj,29212,község,Komárom-Esztergom,4106,Tatai,Tata,1,–,2113,2847,1045,,,,,,,1,,,,,,,
